psalm,responsum
OL1,"Do domu Hospodinova s radostí půjdeme."
OL2,"Zaradoval jsem se, když mi řekli: „Do domu Hospodinova půjdeme!“"
OL3,"Bože, obnov nás, rozjasni svou tvář, a budeme spaseni."
OL4,"K tobě pozvedám svou duši, Hospodine."
OL5,"Pane, Bože můj, k tobě pozvedám svou duši."
OL6,"Do domu Hospodinova s radostí půjdeme."
OL7,"V jeho dnech rozkvete spravedlnost a hojnost pokoje na věky."
OL8,"Smím přebývat v Hospodinově domě, na dlouhé, předlouhé časy."
OL9,"Děkujte Hospodinu, neboť je dobrý, jeho milosrdenství trvá na věky."
OL10,"Hospodin je mé světlo a má spása."
OL11,"Pán je mé světlo a má spása."
OL12,"Chvalte Hospodina, který uzdravuje ty, jimž puká srdce."
OL13,"Pane, ukaž nám své milosrdenství!"
OL14,"Pane, ukaž nám své milosrdenství a uděl nám svou spásu."
OL15,"Ukaž nám, Hospodine, své milosrdenství a dej nám svou spásu!"
OL16,"Velkou věc s námi učinil Hospodin, naplnila nás radost."
OL17,"Vypravujte mezi všemi národy o Hospodinových divech."
OL18,"Veleb, duše má, Hospodina."
OL19,"Budu tě oslavovat na věky, můj Bože, králi."
OL20,"Blaze tomu, kdo svou naději vložil do Hospodina."
OL21,"Pane, přijď, a zachraň nás!"
OL22,"Duch můj plesá v Bohu mém!"
OL23,"Plesejte a jásejte, neboť nad vámi vládne Svatý Izraele."
OL24,"Ukaž mi své cesty, Hospodine."
OL25,"Hle, ubožák zavolal, a Hospodin slyšel."
OL26,"Chci tě oslavovat, Hospodine, neboť jsi mě vysvobodil."
OL27,"Ať tě, Bože, velebí národy, ať tě velebí, kdekterý národ!"
OL28,"Ať vejde Hospodin, on je král slávy!"
OL29,"Na věky chci zpívat o Hospodinových milostech."
OL30,"V jeho dnech rozkvete spravedlnost a hojnost pokoje na věky."
OL31,"V jeho dnech rozkvete spravedlnost a hojnost pokoje na věky."
OL32,"Ústa má budou vyprávět o tvé spravedlnosti."
OL33,"Radujte se, spravedliví, v Hospodinu."
OL34,"Mé srdce jásá v Bohu, mém spasiteli."
OL35,"Na věky budu zpívat o tvém milosrdenství, Hospodine."
OL36,"Na věky chci zpívat o Hospodinových milostech."
OL37,"Dnes se nám narodil Spasitel, Kristus Pán."
OL38,"Světlo dnes zazáří nad námi, neboť se nám narodil Pán."
OL39,"Všechny končiny země viděly spásu od našeho Boha."
OL40,"Uzřely všechny končiny země spásu našeho Boha."
OL41,"Blaze každému, kdo se bojí Hospodina, kdo kráčí po jeho cestách."
OL42,"Blaze každému, kdo se bojí Hospodina."
OL43,"Hospodin sám je náš Bůh, pamatuje věčně na svoji smlouvu."
OL44,"Hospodin pamatuje věčně na svoji smlouvu."
OL45,"Blaze těm, kdo přebývají v tvém domě, Bože."
OL46,"Šťastní jsou, Pane, kdo přebývají ve tvém svatém chrámě."
OL47,"Vypravujte mezi všemi národy o Hospodinových divech."
OL48,"Vypravujte mezi všemi národy o Hospodinových divech."
OL49,"Vypravujte mezi všemi národy o Hospodinových divech."
OL50,"Hospodine, Pane náš, jak podivuhodné je tvé jméno po celé zemi!"
OL51,"Bože, buď milostiv a žehnej nám!"
OL52,"Slovo se stalo tělem a přebývalo mezi námi."
OL53,"Uzřely všechny končiny země spásu našeho Boha."
OL54,"Uzřely všechny končiny země spásu našeho Boha."
OL55,"Uzřely všechny končiny země spásu našeho Boha."
OL56,"Pojďte se poklonit Pánu!"
OL57,"Jeruzaléme, oslavuj Hospodina!"
OL58,"Hospodin miluje svůj národ."
OL59,"Budou se ti, Hospodine, klanět všechny národy."
OL60,"Dám ti v majetek národy."
OL61,"Budou se ti, Hospodine, klanět všechny národy."
OL62,"Budou se ti, Hospodine, klanět všechny národy."
OL63,"Budou se ti, Hospodine, klanět všechny národy."
OL64,"Pán dá požehnání a pokoj svému lidu."
OL65,"Budete vážit vodu s radostí z pramenů spásy."
OL66,"Veleb, duše má, Hospodina."
OL67,"Smiluj se, Pane, neboť jsme zhřešili."
OL68,"Stvoř mi čisté srdce Bože!"
OL69,"Tys, Pane, dobrý a shovívavý."
OL70,"Všechno tvé jednání, Hospodine, je láska a věrnost pro ty, kdo plní tvou smlouvu."
OL71,"Buď se mnou, Pane, v mé tísni."
OL72,"Tvá slova, Pane, jsou duch a jsou život."
OL73,"Pán mě vysvobodil ze všech mých obav."
OL74,"Stvoř mi čisté srdce Bože!"
OL75,"Když jsem volal, Hospodine, vyslyšels mě."
OL76,"U Hospodina je slitování, hojné u něho je vykoupení."
OL77,"Blaze těm, kdo kráčejí v zákoně Hospodinově."
OL78,"Ať spočine na nás, Hospodine, tvé milosrdenství, jak doufáme v tebe."
OL79,"Budu kráčet před Hospodinem v zemi živých."
OL80,"Hospodin je mé světlo a má spása."
OL81,"Nejednej s námi podle našich hříchů, Hospodine!"
OL82,"Kdo žije správně, tomu ukážu Boží spásu."
OL83,"Zachraň mě svou slitovností, Hospodine."
OL84,"Pamatujte na divy, které učinil Hospodin."
OL85,"Hospodin je milosrdný a milostivý."
OL86,"Kéž byste dnes uposlechli jeho hlasu: „Nezatvrzujte svá srdce!“"
OL87,"Zaslechnete -- li dnes jeho hlas, nezatvrzujte svá srdce!"
OL88,"Pane, ty máš slova věčného života."
OL89,"Hospodin je milosrdný a milostivý."
OL90,"Má duše žízní po tobě, Pane, Bože můj!"
OL91,"Rozpomeň se, Hospodine, na své slitování."
OL92,"Jeruzaléme, oslavuj Hospodina!"
OL93,"Plesejte Bohu, který nám pomáhá."
OL94,"Smiluj se, Pane, neboť jsme zhřešili."
OL95,"Hospodin je můj pastýř, nic nepostrádám."
OL96,"Pán je můj pastýř, nic mi neschází."
OL97,"Vyslyš nás, Pane, a vysvoboď nás."
OL98,"Okuste a vizte, jak je Hospodin dobrý."
OL99,"Proudy bystřin jsou k radosti Božímu městu, přesvatému stánku Nejvyššího."
OL100,"Blízký je Hospodin všem, kdo ho vzývají."
OL101,"Pamatuj na nás, Hospodine, pro náklonnost k svému lidu."
OL102,"Hle, ubožák zavolal, a Hospodin slyšel."
OL103,"Hospodine, můj Bože, k tobě se utíkám."
OL104,"Stvoř mi čisté srdce, Bože!"
OL105,"Stvoř mi čisté srdce Bože!"
OL106,"Hospodine, slyš mou modlitbu a volání mé ať k tobě pronikne!"
OL107,"chvályhodný a svrchovaně velebený navěky."
OL108,"Hospodin pamatuje věčně na svoji smlouvu."
OL109,"Miluji tě, Hospodine, má sílo!"
OL110,"Hospodin bude nad námi bdít, jako pastýř nad svým stádem."
OL111,"Bože můj, Bože můj, proč jsi mne opustil?"
OL112,"Hospodin je mé světlo a má spása."
OL113,"Ústa má budou vyprávět o tvé spravedlnosti."
OL114,"Vyslyš mě, Hospodine, ve své veliké lásce!"
OL115,"Na věky chci zpívat o Hospodinových milostech."
OL116,"Kalich požehnání je společenstvím Krve Kristovy."
OL117,"Otče, do tvých rukou poroučím ducha svého."
OL118,"Sešli svého ducha, Pane, a obnov tvářnost země."
OL119,"Země je plná Hospodinovy milosti."
OL120,"Ochraň mě, Bože, neboť se k tobě utíkám."
OL121,"Hospodinu chci zpívat, neboť je velmi vznešený."
OL122,"Jako laň prahne po vodních bystřinách, tak prahne má duše po tobě, Bože!"
OL123,"Stvoř mi čisté srdce, Bože!"
OL124,"Toto je den, který připravil Pán, jásejme a radujme se z něho!"
OL125,"Ochraň mě, Bože, neboť se k tobě utíkám."
OL126,"Země je plná Hospodinovy milosti."
OL127,"Ze srdce ať se radují, kdo hledají Hospodina."
OL128,"Hospodine, Pane náš, jak podivuhodné je tvé jméno po celé zemi!"
OL129,"Kámen, který stavitelé zavrhli, stal se kvádrem nárožním."
OL130,"Děkujte Hospodinu, neboť je dobrý, jeho milosrdenství trvá na věky."
OL131,"Děkujte Hospodinu, neboť je dobrý, jeho milosrdenství trvá na věky."
OL132,"Děkujte Hospodinu, neboť je dobrý, jeho milosrdenství trvá na věky."
OL133,"Děkujte Hospodinu, neboť je dobrý, jeho milosrdenství trvá na věky."
OL134,"Blaze všem, kdo se uchylují k Hospodinu."
OL135,"Hospodin kraluje, oděl se velebností."
OL136,"Hle, ubožák zavolal, a Hospodin slyšel."
OL137,"Hle, ubožák zavolal, a Hospodin slyšel."
OL138,"Ať spočine na nás, Hospodine, tvé milosrdenství, jak doufáme v tebe."
OL139,"Ukaž mi, Pane, cestu k životu."
OL140,"Hospodine, ukaž nám svou jasnou tvář!"
OL141,"Blaze těm, kdo kráčejí v zákoně Hospodinově."
OL142,"Do tvých rukou, Pane, svěřuji ducha svého."
OL143,"Jásejte Bohu, všechny země!"
OL144,"Jásejte Bohu, všechny země!"
OL145,"Jděte do celého světa a hlásejte evangelium."
OL146,"Vezmu kalich spásy a budu vzývat jméno Hospodinovo."
OL147,"Kámen, který stavitelé zavrhli, stal se kvádrem nárožním."
OL148,"Jsme jeho lid a stádce, které on pase."
OL149,"Chvalte Hospodina, všechny národy!"
OL150,"Ať tě, Bože, velebí národy, ať tě velebí, kdekterý národ!"
OL151,"Na věky chci zpívat o Hospodinových milostech."
OL152,"Ty jsi můj syn, já dnes jsem tě zplodil."
OL153,"Budu tě chválit, Hospodine, ve velkém shromáždění."
OL154,"Budu tě oslavovat na věky, můj Bože, králi."
OL155,"Nikoliv nám, Hospodine, ale svému jménu zjednej slávu."
OL156,"Ať tvoji zbožní, Hospodine, vypravují o slávě tvé vznešené říše."
OL157,"Do domu Hospodinova s radostí půjdeme."
OL158,"Vypravujte mezi všemi národy o Hospodinových divech."
OL159,"Budu tě chválit mezi národy, Pane!"
OL160,"Pojďte se poklonit Pánu!"
OL161,"Jásejte Bohu, všechny země!"
OL162,"Jásejte Bohu, všechny země!"
OL163,"Jásejte Bohu, všechny země! Aleluja."
OL164,"Hospodin zjevil svou spásu před zraky pohanů."
OL165,"Jinoši a panny, chvalte Hospodinovo jméno!"
OL166,"Bůh se vznáší za jásotu, Hospodin vystupuje za hlaholu polnice."
OL167,"Bůh se vznáší za jásotu, Hospodin vystupuje za hlaholu polnice."
OL168,"Bůh se vznáší za jásotu, Hospodin vystupuje za hlaholu polnice."
OL169,"Věřím, že uvidím blaho od Hospodina v zemi živých!"
OL170,"Hospodin si zřídil na nebi trůn."
OL171,"Hospodin kraluje, je povznesen nad celou zemí."
OL172,"Bože, ve své dobrotě ses postaral o chudáka."
OL173,"Bože, ve své dobrotě ses postaral o chudáka."
OL174,"Bože, ve své dobrotě ses postaral o chudáka."
OL175,"Zbožní uzří tvou tvář, Hospodine."
OL176,"Blaze lidu, který si Hospodin vyvolil za svůj majetek."
OL177,"Oslavujte Hospodina, neboť na věky trvá jeho milosrdenství."
OL178,"Sešli svého ducha, Hospodine, a obnovíš tvář země."
OL179,"Sešli svého ducha, Pane, a obnov tvářnost země."
OL180,"Sešli svého ducha, Hospodine, a obnovíš tvář země."
OL181,"Sešli svého ducha, Pane, a obnov tvářnost země."
OL182,"Chvalte Hospodina, všechny národy!"
OL183,"Hle, přicházím, Pane, splnit tvou vůli."
OL184,"Ty jsi kněz na věky podle Melchizedechova řádu!"
OL185,"Hospodin je můj pastýř, nic nepostrádám."
OL186,"Blaze lidu, který si Hospodin vyvolil za svůj majetek."
OL187,"Vezmu kalich spásy a budu vzývat jméno Hospodinovo."
OL188,"Ty jsi kněz na věky podle Melchizedechova řádu!"
OL189,"Hospodinova láska od věků pro ty, kdo se ho bojí."
OL190,"Hle, přicházím, Pane, splnit tvou vůli."
OL191,"Vypravujte mezi všemi národy o Hospodinových divech."
OL192,"Blahoslavení chudí v duchu, neboť jejich je království nebeské."
OL193,"Spravedlivý září v temnotách jako světlo."
OL194,"Budu ti hrát, Hospodine, před anděly."
OL195,"Blaze těm, kdo kráčejí v zákoně Hospodinově."
OL196,"Tys mé útočiště, zahrneš mě radostí ze záchrany."
OL197,"Hospodin je milosrdný a milostivý."
OL198,"Pán je milosrdný a milostivý."
OL199,"Uzdrav mě, Pane, zhřešil jsem proti tobě."
OL200,"V Bohu jen odpočívej, duše má."
OL201,"Dobré je chválit Hospodina."
OL202,"Buď mi, Hospodine, ochrannou skálou!"
OL203,"Plesejte Bohu, který nám pomáhá."
OL204,"Kdo žije správně, tomu ukážu Boží spásu."
OL205,"Odpusť, Pane, co jsem zavinil hříchem."
OL206,"Vyslyš mě, Hospodine, ve své veliké lásce!"
OL207,"Oslavujte Hospodina, neboť na věky trvá jeho milosrdenství."
OL208,"Má duše žízní po tobě, Pane, Bože můj!"
OL209,"Má duše po tobě žízní, Hospodine, Bože můj!"
OL210,"Na věky chci zpívat o Hospodinových milostech."
OL211,"Ty jsi, Hospodine, mým dědičným podílem."
OL212,"Budu velebit tvé jméno, můj Bože, králi."
OL213,"Bože, můj králi, na věky chci dobrořečit tvému jménu."
OL214,"Naše oči hledí na Hospodina, dokud se nad námi nesmiluje."
OL215,"Semeno padlo na dobrou půdu a přineslo užitek."
OL216,"Hledejte, ubožáci, Hospodina a pookřejte v srdci."
OL217,"Hospodinovy předpisy jsou správné, působí radost srdci."
OL218,"Tys, Pane, dobrý a shovívavý."
OL219,"Hospodine, kdo smí prodlévat ve tvém stánku?"
OL220,"Jak miluji tvůj zákon, Hospodine."
OL221,"Otvíráš svou ruku a sytíš nás, Hospodine."
OL222,"Když jsem volal, Hospodine, vyslyšels mě."
OL223,"Otvíráš svou ruku a sytíš nás, Hospodine."
OL224,"Nebeský pokrm dal jim Hospodin."
OL225,"Pane, tys nám býval útočištěm od pokolení do pokolení."
OL226,"Okuste a vizte, jak je Hospodin dobrý."
OL227,"Okuste a vizte, jak dobrý je Pán."
OL228,"Blaze lidu, který si Hospodin vyvolil za svůj majetek."
OL229,"Okuste a vizte, jak je Hospodin dobrý."
OL230,"Hospodine, na pomoc mi pospěš!"
OL231,"Hospodine, tvá dobrota trvá na věky, dílo svých rukou neopouštěj!"
OL232,"Okuste a vizte, jak je Hospodin dobrý."
OL233,"Bože, ve své dobrotě ses postaral o chudáka."
OL234,"Duše má, chval Hospodina!"
OL235,"Budu kráčet před Hospodinem v zemi živých."
OL236,"Vstanu a půjdu k svému Otci."
OL237,"Blízký je Hospodin všem, kdo ho vzývají."
OL238,"Pán mě udržuje naživu."
OL239,"Chvalte Hospodina, který povyšuje chudého."
OL240,"Hospodinovy předpisy jsou správné, působí radost srdci."
OL241,"Dům Izraelův je vinicí Páně."
OL242,"Ať nám Hospodin žehná po všechny dny našeho života."
OL243,"Nasyť nás, Pane, svou slitovností, abychom se radovali."
OL244,"Vzdejte Hospodinu moc a slávu!"
OL245,"Pomoc nám přijde od Hospodina, který učinil nebe i zemi."
OL246,"Miluji tě, Hospodine, má sílo!"
OL247,"Miluji tě, Hospodine, má sílo!"
OL248,"Hle, ubožák zavolal, a Hospodin slyšel."
OL249,"Opatruj, Pane, mou duši ve svém pokoji!"
OL250,"Ochraň, Pane, duši mou v pokoji u tebe."
OL251,"Má duše po tobě žízní, Hospodine, Bože můj!"
OL252,"Až procitnu, Hospodine, nasytím se pohledem na tebe."
OL253,"Přišel Hospodin, aby spravoval národy podle práva."
OL254,"Do domu Hospodinova s radostí půjdeme."
OL255,"Blahoslavená jsi, Panno Maria, žes nosila Syna věčného Otce."
OL256,"Vypravujte mezi všemi národy o Hospodinových divech."
OL257,"Hospodin zástupů, on je král slávy!"
OL258,"Ty jsi čest našeho lidu."
OL259,"Jeho potomstvo potrvá na věky."
OL260,"Hle, přicházím, Pane, splnit tvou vůli."
OL261,"Na věky chci zpívat o Hospodinových milostech."
