date,occasion,psalm
"1. 1.","Matky Boží, Panny Marie",OL51
"2. 1.","Sv. Basila Velikého a Řehoře Naziánského, biskupů a učitelů Církve",OL95
"3. 1.","Nejsvětějšího Jména Ježíš",OL50
"6. 1.","Zjevení Páně",OL59
"7. 1.","Rajmunda z Peñafortu, kněze",OL309
"13. 1.","Sv. Hilaria, biskupa a učitele Církve",OL188
"17. 1.","Sv. Antonína, opata",OL299
"18. 1.","Panny Marie, Matky jednoty křesťanů",OL255
"20. 1.","Sv. Fabiána, papeže a mučedníka",OL190
"20. 1.","Sv. Šebestiána, mučedníka",OL269
"21. 1.","Sv. Anežky Římské, panny a mučenice",OL95
"22. 1.","Sv. Vincence, jáhna a mučedníka",OL269
"24. 1.","Sv. Františka Saleského, biskupa a učitele Církve",OL301
"25. 1.","Obrácení svatého Pavla, apoštola",OL145
"26. 1.","Sv. Timoteje a Tita, biskupů",OL256
"27. 1.","Sv. Anděly Mericiové, panny",OL165
"28. 1.","Sv. Tomáše Akvinského, kněze a učitele Církve",OL303
"31. 1.","Sv. Jana Boska, kněze",OL309
"2. 2.","Uvedení Páně do chrámu",OL257
"3. 2.","Sv. Blažeje, biskupa a mučedníka",OL145
"3. 2.","Sv. Ansgara, biskupa",OL256
"5. 2.","Sv. Agáty, panny a mučednice",OL288
"6. 2.","Sv. Pavla Mikiho a druhů, mučedníků",OL272
"8. 2.","Sv. Jeronýma Emilianiho",OL312
"8. 2.","Sv. Josefíny Bakhity, panny",OL305
"10. 2.","Sv. Scholastiky, panny",OL165
"11. 2.","Panny Marie Lurdské",OL258
"15. 2.","Bl. Bedřicha Bachsteina a druhů, mučedníků",OL290
"17. 2.","Sv. Alexia a druhů, řeholníků",OL312
"21. 2.","Sv. Petra Damianiho, biskupa a učitele Církve",OL299
"22. 2.","Stolce sv. apoštola Petra",OL95
"23. 2.","Sv. Polykarpa, biskupa a mučedníka",OL288
"4. 3.","Sv. Kazimíra",OL307
"7. 3.","Sv. Perpetuy a Felicity, mučednic",OL290
"8. 3.","Sv. Jana z Boha, řeholníka",OL308
"9. 3.","Sv. Františky Římské, řeholnice",OL310
"10. 3.","Sv. Jana Ogilvie, kněze a mučedníka",OL269
"17. 3.","Sv. Patrika, biskupa",OL256
"18. 3.","Sv. Cyrila Jeruzalémského, biskupa a učitele Církve",OL302
"19. 3.","Sv. Josefa, snoubence Panny Marie",OL259
"23. 3.","Sv. Turibia z Mongroveja, biskupa",OL256
"25. 3.","Zvěstování Páně",OL260
"2. 4.","Sv. Františka z Pauly, poustevníka",OL299
"4. 4.","Sv. Izidora, biskupa a učitele Církve",OL301
"5. 4.","Sv. Vincence Ferrerského, kněze",OL190
"7. 4.","Sv. Jana Křtitele de la Salle, kněze",OL270
"11. 4.","Sv. Stanislava, biskupa a mučedníka",OL269
"13. 4.","Sv. Martina I., papeže a mučedníka",OL272
"21. 4.","Sv. Anselma, biskupa a mučedníka",OL312
"23. 4.","Sv. Vojtěcha, biskupa a mučedníka",OL256
"24. 4.","Sv. Jiří, mučedníka",OL272
"24. 4.","Sv. Fidela ze Sigmaringy, kněze a mučedníka",OL269
"25. 4.","Sv. Marka, evangelisty",OL261
"28. 4.","Sv. Petra Chanela, kněze a mučedníka",OL145
"28. 4.","Sv. Ludvíka Marie Grigniona z Montfortu, kněze",OL190
"29. 4.","Sv. Kateřiny Sienské, panny a učitelky Církve",OL309
"30. 4.","Sv. Zikmunda, mučedníka",OL269
"30. 4.","Sv. Pia V., papeže",OL188
"1. 5.","Sv. Josefa, Dělníka",OL262
"2. 5.","Sv. Atanáše, biskupa a učitele Církve",OL301
"3. 5.","Sv. Filipa a Jakuba, apoštolů",OL263
"6. 5.","Sv. Jana Sarkandra, kněze a mučedníka",OL269
"8. 5.","Panny Marie, Prostřednice všech milostí",OL297
"12. 5.","Sv. Nerea a Achillea, mučedníků",OL290
"12. 5.","Sv. Pankráce, mučedníka",OL309
"13. 5.","Panny Marie Fatimské",OL298
"14. 5.","Sv. Matěje, apoštola",OL264
"16. 5.","Sv. Jana Nepomuckého, kněze a mučedníka",OL265
"18. 5.","Sv. Jana I., papeže a mučedníka",OL95
"20. 5.","Sv. Klementa Maria Hofbauera, kněze",OL190
"20. 5.","Sv. Bernardina Sienského, kněze",OL190
"21. 5.","Sv. Kryštofa Magallanese, kněze, a druhů mučedníků",OL269
"22. 5.","Sv. Rity z Cascie, řeholnice",OL270
"25. 5.","Sv. Bedy Ctihodného, kněze a učitele Církve",OL303
"25. 5.","Sv. Řehoře VII., papeže",OL188
"25. 5.","Sv. Marie Magdalény de‘ Pazzi, panny",OL165
"26. 5.","Sv. Filipa Neriho, kněze",OL312
"27. 5.","Sv. Augustina z Canterbury, biskupa",OL256
"29. 5.","Sv. Pavla VI., papeže",OL256
"30. 5.","Sv. Zdislavy",OL42
"31. 5.","Navštívení Panny Marie",OL23
"1. 6.","Sv. Justina, mučedníka",OL269
"2. 6.","Sv. Marcelina a Petra, mučedníků",OL290
"3. 6.","Sv. Karla Lwangy a druhů, mučedníků",OL290
"5. 6.","Sv. Bonifáce, biskupa a mučedníka",OL145
"6. 6.","Sv. Norberta, biskupa",OL95
"6. 6.","Sv. Pavlíny, panny a mučednice",OL269
"9. 6.","Sv. Efréma Syrského, jáhna a učitele Církve",OL301
"11. 6.","Sv. Barnabáše, apoštola",OL266
"12. 6.","Bl. Marie Antoníny Kratochvílové, panny, a druhů, mučedníků",OL269
"13. 6.","Sv. Antonína z Padovy, kněze a učitele Církve",OL300
"15. 6.","Sv. Víta, mučedníka",OL290
"19. 6.","Sv. Jana Nepomuckého Neumanna, biskupa",OL299
"19. 6.","Sv. Romualda, opata",OL249
"21. 6.","Sv. Aloise Gonzagy, řeholníka",OL299
"22. 6.","Sv. Paulína Nolánského, biskupa",OL190
"22. 6.","Sv. Jana Fishera, biskupa a Tomáše Mora, mučedníků",OL272
"23. 6.","Narození sv. Jana Křtitele, vigilie",OL267
"24. 6.","Narození sv. Jana Křtitele",OL268
"27. 6.","Sv. Cyrila Alexandrijského, biskupa a učitele Církve",OL300
"28. 6.","Sv. Ireneje, biskupa a mučedníka",OL301
"28. 6.","Sv. Petra a Pavla, apoštolů, vigilie",OL263
"29. 6.","Sv. Petra a Pavla, apoštolů",OL269
"30. 6.","Sv. prvomučedníků římských",OL290
"3. 7.","Sv. Tomáše, apoštola",OL145
"4. 7.","Sv. Prokopa, opata",OL270
