occasion,id,cycle
"1. neděle adventní A",advent_1_sunday,A
"Za zemřelé / Při pohřbu (v době velikonoční)",,
"1. neděle adventní B",advent_1_sunday,B
"4. neděle adventní C",advent_4_sunday,C
"Sobota po 2. neděli adventní",advent_2_saturday,
"1. neděle adventní C",advent_1_sunday,C
"Předvánoční týden (23. prosince)",23/12,
"Pondělí po 1. neděli adventní",advent_1_monday,
"Úterý po 1. neděli adventní",advent_1_tuesday,
"2. neděle adventní A",advent_2_sunday,A
"Středa po 1. neděli adventní",advent_1_wednesday,
"28. neděle v mezidobí A",ordinary_time_28_sunday,A
"Čtvrtek po 1. neděli adventní",advent_1_thursday,
"Pátek po 1. neděli adventní",advent_1_friday,
"Pátek po 2. neděli velikonoční",easter_time_2_friday,
"3. neděle v mezidobí A",sunday_of_the_word_of_god,A
"Sobota po 1. neděli adventní",advent_1_saturday,
"5. neděle v mezidobí B",ordinary_time_5_sunday,B
"2. neděle adventní B",advent_2_sunday,B
"Pondělí po 2. neděli adventní",advent_2_monday,
"Středa po 3. neděli adventní",advent_3_wednesday,
"15. neděle v mezidobí B",ordinary_time_15_sunday,B
"2. neděle adventní C",advent_2_sunday,C
"5. neděle postní C",lent_5_sunday,C
"30. neděle v mezidobí B",ordinary_time_30_sunday,B
"Úterý po 2. neděli adventní",advent_2_tuesday,
"Středa po 2. neděli adventní",advent_2_wednesday,
"Čtvrtek po 2. neděli adventní",advent_2_thursday,
"Pátek po 2. neděli adventní",advent_2_friday,
"Čtvrtek po Popeleční středě",thursday_after_ash_wednesday,
"Čtvrtek po 2. neděli postní",lent_2_thursday,
"6. neděle v mezidobí C",ordinary_time_6_sunday,C
"3. neděle adventní A",advent_3_sunday,A
"3. neděle adventní B",advent_3_sunday,B
"3. neděle adventní C",advent_3_sunday,C
"Navštívení Panny Marie (31. května)",visitation_of_mary,(
"Pondělí po 3. neděli adventní",advent_3_monday,
"3. neděle v mezidobí B",sunday_of_the_word_of_god,B
"Úterý po 3. neděli adventní",advent_3_tuesday,
"Čtvrtek po 3. neděli adventní",advent_3_thursday,
"Pondělí po 4. neděli postní",lent_4_monday,
"Zmrtvýchvstání Páně, vigilie (4. čtení)",easter_sunday,
"3. neděle velikonoční C",easter_time_3_sunday,C
"10. neděle v mezidobí C",ordinary_time_10_sunday,C
"Pátek po 3. neděli adventní",advent_3_friday,
"4. neděle adventní A",advent_4_sunday,A
"Předvánoční týden (20. prosince)",20/12,
"4. neděle adventní B",advent_4_sunday,B
"Předvánoční týden (24. prosince)",24/12,
"Předvánoční týden (17. prosince)",17/12,
"Předvánoční týden (18. prosince)",18/12,
"Předvánoční týden (19. prosince)",19/12,
"Předvánoční týden (21. prosince)",21/12,
"Předvánoční týden (22. prosince)",22/12,
"Neposkvrněného Srdce Panny Marie",immaculate_heart_of_mary,
"O Panně Marii",,
"Narození Páně, vigilie",christmas,
"Narození Páně, v noci",christmas,
"Narození Páně, za svítání (v noci)",christmas,
"Narození Páně, ve dne",christmas,
"Svaté Rodiny A(BC) (pokud se čte čtení z Sir 3,3-17)",holy_family,A(BC)
"33. neděle v mezidobí A",ordinary_time_33_sunday,A
"O svatých",,
"Při svatbě",,
"Svaté Rodiny B (pokud se čte čtení z Gn 15,1-6)",holy_family,B
"Svaté Rodiny C (pokud se čte čtení z 1 Sam 1,20-28)",holy_family,C
"Pátý den v oktávu Narození Páně (29. prosince)",christmas_octave_day_5,
"Šestý den v oktávu Narození Páně (30. prosince)",christmas_octave_day_6,
"Sedmý den v oktávu Narození Páně (31. prosince)",christmas_octave_day_7,
"Na začátku občanského roku (31. prosince, večer)",31/12,
"Nejsvětějšího Jména Ježíš (3. ledna)",most_holy_name_of_jesus,(
"Nejsvětější Trojice C",trinity_sunday,C
"Při křtu dospělých",,
"Matky Boží, Panny Marie (1. ledna)",mary_mother_of_god,(1
"2. neděle po Narození Páně",second_sunday_after_christmas,
"Týden před Zjevením Páně (2. ledna)",2/1,
"Sobota po 4. neděli velikonoční",easter_time_4_saturday,
"Týden před Zjevením Páně (3. ledna)",3/1,
"Týden před Zjevením Páně (4. ledna)",4/1,
"Týden před Zjevením Páně (5. ledna)",5/1,
"Těla a Krve Páně, k adoraci",corpus_christi,
"Týden před Zjevením Páně (6. ledna, pokud je slavnost v neděli)",6/1,
"Týden po Zjevení Páně (11. ledna)",11/1,
"Pátek po Zjevení Páně",friday_after_epiphany,
"Těla a Krve Páně A",corpus_christi,A
"Týden před Zjevením Páně (7. ledna, pokud je slavnost v neděli)",7/1,
"Týden po Zjevení Páně (12. ledna)",12/1,
"Sobota po Zjevení Páně",saturday_after_epiphany,
"Pondělí po 6. neděli velikonoční",easter_time_6_monday,
"Zjevení Páně (6. ledna)",epiphany,(
"Týden po Zjevení Páně (7. ledna)",7/1,
"Pondělí po Zjevení Páně",monday_after_epiphany,
"Týden po Zjevení Páně (8. ledna)",8/1,
"Úterý po Zjevení Páně",tuesday_after_epiphany,
"Týden po Zjevení Páně (9. ledna)",9/1,
"Středa po Zjevení Páně",wednesday_after_epiphany,
"Týden po Zjevení Páně (10. ledna)",10/1,
"Čtvrtek po Zjevení Páně",thursday_after_epiphany,
"Křtu Páně A(BC) (pokud se čte čtení z Iz 42,1-7)",baptism_of_the_lord,A(BC)
"Křtu Páně B (pokud se čte čtení z Iz 55,1-11)",baptism_of_the_lord,B
"Zmrtvýchvstání Páně, vigilie (5. čtení)",easter_sunday,
"Nejsvětějšího Srdce Ježíšova B",most_sacred_heart_of_jesus,B
"Křtu Páně C (pokud se čte čtení z Iz 40,1-11)",baptism_of_the_lord,C
"Popeleční středa",ash_wednesday,
"1. neděle postní A",lent_1_sunday,A
"Pátek po Popeleční středě",friday_after_ash_wednesday,
"Sobota po Popeleční středě",saturday_after_ash_wednesday,
"1. neděle postní B",lent_1_sunday,B
"1. neděle postní C",lent_1_sunday,C
"Pondělí po 1. neděli postní",lent_1_monday,
"3. neděle v mezidobí C",sunday_of_the_word_of_god,C
"Při svěcení kostela",,
"Úterý po 1. neděli postní",lent_1_tuesday,
"Středa po 1. neděli postní",lent_1_wednesday,
"Čtvrtek po 1. neděli postní",lent_1_thursday,
"Úterý po 6. neděli velikonoční",easter_time_6_tuesday,
"Pátek po 1. neděli postní",lent_1_friday,
"5. neděle postní A",lent_5_sunday,A
"10. neděle v mezidobí B",ordinary_time_10_sunday,B
"Sobota po 1. neděli postní",lent_1_saturday,
"2. neděle postní A",lent_2_sunday,A
"29. neděle v mezidobí B",ordinary_time_29_sunday,B
"2. neděle postní B",lent_2_sunday,B
"2. neděle postní C",lent_2_sunday,C
"Pondělí po 2. neděli postní",lent_2_monday,
"Úterý po 2. neděli postní",lent_2_tuesday,
"Středa po 2. neděli postní",lent_2_wednesday,
"Pátek po 2. neděli postní",lent_2_friday,
"Sobota po 2. neděli postní",lent_2_saturday,
"24. neděle v mezidobí A",ordinary_time_24_sunday,A
"3. neděle postní A",lent_3_sunday,A
"Čtvrtek po 3. neděli postní",lent_3_thursday,
"4. neděle v mezidobí B",ordinary_time_4_sunday,B
"23. neděle v mezidobí A",ordinary_time_23_sunday,A
"3. neděle postní B",lent_3_sunday,B
"Zmrtvýchvstání Páně, vigilie (6. čtení)",easter_sunday,
"Seslání Ducha Svatého, vigilie (po čtení z Ex 19,3-20)",pentecost_sunday,
"3. neděle postní C",lent_3_sunday,C
"Pondělí po 3. neděli postní",lent_3_monday,
"Pondělí po 4. neděli velikonoční",easter_time_4_monday,
"Úterý po 3. neděli postní",lent_3_tuesday,
"26. neděle v mezidobí A",ordinary_time_26_sunday,A
"Středa po 3. neděli postní",lent_3_wednesday,
"Pátek po 3. neděli postní",lent_3_friday,
"Sobota po 3. neděli postní",lent_3_saturday,
"4. neděle postní A",lent_4_sunday,A
"Pondělí po 5. neděli postní",lent_5_monday,
"4. neděle velikonoční A",easter_time_4_sunday,A
"Nejsvětějšího Srdce Ježíšova C",most_sacred_heart_of_jesus,C
"16. neděle v mezidobí B",ordinary_time_16_sunday,B
"Ježíše Krista Krále A",christ_the_king_sunday,A
"Stolce sv. apoštola Petra (22. února)",chair_of_saint_peter_the_apostle,(22
"O duchovních pastýřích",,
"O svatých (v době velikonoční)",,
"Při křtu / Při biřmování",,
"Při svěcení jáhnů (v době velikonoční)",,
"Za zemřelé / Při pohřbu",,
